Band,Time Listened (min)
Genesis,10497.03
311,1027.51
Green Day,972.21
Shinedown,902.96
Steely Dan,744.13
Haley Reinhart,728.84
Metallica,687.26
Enigma,656.08
Pop Will Eat Itself,637.42
Eve 6,579.79
Army Of Anyone,569.39
August Burns Red,533.34
I Prevail,519.39
Rush,488.72
Currents,455.8
Three Days Grace,439.33
Hoobastank,439.21
Theory Of A Deadman,429.94
Nickelback,414.84
Disturbed,395.78
Tame Impala,377.13
Seether,350.79
Extreme,349.26
Red Hot Chili Peppers,349.21
Five Finger Death Punch,340.82
Saint Asonia,334.48
Slipknot,333.33
The Donnas,325.6
Barenaked Ladies,320.45
Megadeth,320.21
Focus on Learning Guru,268.55
Halestorm,257.48
Godsmack,255.64
The Offspring,252.27
Harvey Danger,246.45
Eminem,238.71
Guns N' Roses,236.54
Stone Temple Pilots,226.26
Bring Me The Horizon,221.46
2Cellos,221.3
Fit For A King,221.27
Sick Puppies,215.87
Stone Sour,213.69
Skillet,199.65
Brides Of Destruction,193.25
The Piano Guys,189.38
Taylor Swift,187.66
Cavo,186.64
Lit,184.51
Puddle Of Mudd,182.69
Avatar,182.45
The Exies,179.49
Thornhill,179.48
Alice In Chains,175.21
10 Years,172.51
Nonpoint,167.56
Billy Joel,164.5
Simply Three,162.3
Wage War,160.78
Van Halen,160.69
Pop Evil,155.74
George Winston,155.04
Thousand Foot Krutch,152.33
Red Sun Rising,148.45
Styles Of Beyond,145.83
Linkin Park,144.86
Corey Taylor,144.39
Aranda,143.41
Dallas String Quartet,142.68
Concentration Study,142.61
Jimmie's Chicken Shack,140.72
Saliva,140.03
"Music For Studying and Concentration, Studying Music & Study Music For Concentration",139.32
Slash,139.07
Nirvana,138.37
Smith & Myers,138.28
Deuter,137.76
Avenged Sevenfold,135.06
Mötley Crüe,134.88
Parkway Drive,129.7
Egypt Central,129.59
Alanis Morissette,126.98
TOOL,126.13
Starset,124.54
Exam Study Classical Music,123.77
Juliette and the Licks,123.42
3 Doors Down,123.15
Vitamin String Quartet,121.68
Papa Roach,120.05
Jennifer Thomas,119.51
Feeder,112.7
Epidemic,112.7
Coheed & Cambria,112.49
Instrumental Background Music Ensemble,111.06
Tears For Fears,110.97
Slaughterhouse,109.7
Bad Wolves,108.66
Ronald Jenkees,108.18
AM Radio,107.85
Falling In Reverse,105.71
Depswa,103.46
Trivium,103.33
Story Of The Year,102.12
Blindside,100.97
Yes,98.61
Danko Jones,98.39
Hopsin,97.74
Rev Theory,94.91
Sloth,93.79
Queen,93.53
Lindsey Stirling,93.42
Red Line Chemistry,93.34
Instrumental Background Music,93.2
Foo Fighters,92.92
Green Jelly,92.16
Queens Of The Stone Age,91.34
The Pretty Reckless,91.03
Crown The Empire,90.17
The Wildhearts,89.94
Blue October,89.39
Saving Abel,89.17
James Durbin,88.23
Sublime,86.59
Asking Alexandria,86.56
Chicago,85.7
The Dandy Warhols,84.68
Bowling For Soup,83.7
Breaking Benjamin,82.98
M.O.P.,82.56
Soundgarden,82.31
Pearl Jam,81.46
Monster Magnet,81.42
No Doubt,80.86
AC/DC,78.78
Liquid Mind,77.21
Volbeat,75.81
"Studying Music, Music for Focus and Concentration & Study Music for Focus",74.93
Flyleaf,74.38
Greta Van Fleet,73.36
Pink Floyd,72.14
Brooklyn Duo,71.93
While She Sleeps,71.6
Les Miserables,71.42
Piano Music for Concentration,71.14
Stick To Your Guns,70.45
Gorillaz,70.29
Tantric,69.56
A Day To Remember,69.35
Limp Bizkit,69.03
STARSET,68.93
Bobaflex,68.43
You Me At Six,67.73
Taylor Davis,67.31
Vince Neil,67.05
Candiria,67.01
David Garrett,66.47
Radio Nowhere,66.44
Framing Hanley,65.78
Les Misérables Original London Cast,65.52
Evanescence,64.87
Chevelle,63.94
Yiruma,63.45
Korn,63.33
Orgy,63.24
Fair To Midland,63.0
Hollywood Undead,62.96
Skrape,62.22
My Darkest Days,62.12
Scarlet Haze,61.92
Polaris,61.89
The White Stripes,61.79
Daron Malakian and Scars On Broadway,61.59
Art Of Dying,61.21
Crystal Lake,60.61
Francois-Joel Thiollier,60.34
Logic,60.11
Trapt,59.26
Bush,57.98
Kopek,57.84
Candlelight Red,55.81
The Virginmarys,55.45
Lynyrd Skynyrd,55.05
In Flames,54.22
Spineshank,54.07
ABBA,53.88
Smile Empty Soul,53.67
Valora,52.74
Psychostick,52.55
Nadama,52.54
Heaven's Basement,52.3
The Killers,51.93
My Chemical Romance,51.76
Daughters,51.61
Wolfmother,51.41
Of Mice And Men,51.3
William Joseph,50.5
Dinosaur Pile-Up,50.3
Any Given Sin,50.16
Buckcherry,49.91
Nudeswirl,49.09
John Petrucci,49.02
We As Human,48.53
Beartooth,47.75
Kill Devil Hill,47.7
Hinder,47.7
Relaxing Instrumental Music,47.68
Crossfade,46.62
As I Lay Dying,46.36
Staind,45.53
Focus Playlist,45.47
Busta Rhymes,45.46
Focus Study Music Academy,45.14
Like A Storm,44.73
Pacifier,44.51
Priestess,44.43
Default,44.39
Kyng,43.89
Three Loco,43.76
Les Misérables - 10th Anniversary Concert Cast,43.66
Tina Guo,43.57
The Ghost Inside,43.37
Craving Lucy,43.05
blink-182,42.71
Ill Nino,42.65
Weezer,42.47
Enigma & Michael Cretu,42.08
Atom Smash,41.61
Ludovico Einaudi,40.41
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",40.28
Marconi Union,40.0
Led Zeppelin,38.85
"Study Music for Focus, Relaxing Sounds of Nature & Music For Studying and Concentration",38.63
Counterparts,38.6
Nicki Minaj,38.4
Elton John,37.97
Sixx:A.M.,37.84
Scott D. Davis,37.73
