Song,Band,Number of Times Listened
Abacab,Genesis,123
Turn It On Again,Genesis,106
Dodo,Genesis,105
Duchess,Genesis,91
Behind The Lines,Genesis,88
Me & Sarah Jane,Genesis,81
Follow You Follow Me,Genesis,79
Misunderstanding,Genesis,74
You Wanna Get Me High,The Donnas,66
In The Cage,Genesis,62
Dance on a Volcano,Genesis,56
Afterglow,Genesis,54
Entangled,Genesis,52
Squonk,Genesis,51
Mad Man Moon,Genesis,48
Home by the Sea,Genesis,47
Champagne,Cavo,46
Hot Kiss,Juliette and the Licks,45
That's All,Genesis,45
Mama,Genesis,45
"Robbery, Assault and Battery",Genesis,44
Second Home by the Sea,Genesis,41
Don't Mean A Thing,Borialis,40
Ripples,Genesis,39
Down,Candiria,38
High,Jimmie's Chicken Shack,37
Silver Rainbow,Genesis,37
Just a Job to Do,Genesis,37
Taking It All Too Hard,Genesis,37
Illegal Alien,Genesis,37
Nine Thou,Styles Of Beyond,36
Taken For A Ride,AM Radio,36
This Time,Depswa,35
Cancer,Sick Puppies,35
Walk Away,Epidemic,34
Blind,Saint Asonia,34
A Trick of the Tail,Genesis,34
Unsainted,Slipknot,33
Shut The Fuck Up,Brides Of Destruction,32
The One,Slaughterhouse,30
Without,The Exies,29
We Don't Care Anymore,Story Of The Year,29
Someday,Sloth,29
Indestructible,Disturbed,29
Me and Sarah Jane,Genesis,29
Los Endos,Genesis,29
Chalk Outline,Three Days Grace,29
Betray And Degrade,Seether,28
Vanilla Radio,The Wildhearts,28
My Goddess,The Exies,28
Saints of Los Angeles,Mötley Crüe,28
Amber,Stick To Your Guns,28
Breaking Down,I Prevail,28
BLURRY,Crown The Empire,27
Parasite Eve,Bring Me The Horizon,27
Razorblade,Blue October,27
Welcome Home,Coheed & Cambria,27
No Reply at All,Genesis,27
The Sound of Silence,Disturbed,27
Promise,Eve 6,27
Colossus,Avatar,26
The Shift,10 Years,26
Hurricane,Theory Of A Deadman,26
Cassie,Flyleaf,25
CMFT Must Be Stopped,Corey Taylor,25
All I Really Want,Alanis Morissette,25
Backlash,10 Years,25
Satisfied,Aranda,25
Sleepwalking,Blindside,25
Sound Of Madness,Shinedown,25
On The Roof Again,Eve 6,25
Zombie,Bad Wolves,25
Antisocialist,Asking Alexandria,24
Bohemian Like You,The Dandy Warhols,24
Bulletproof,Godsmack,24
Flagpole Sitta,Harvey Danger,23
Alive and Kicking,Nonpoint,23
The Hunted,Saint Asonia,23
Hell Yeah,Rev Theory,23
It's Gonna Get Better,Genesis,23
Monster,Skillet,23
Kryptonite,3 Doors Down,23
Inside Out,Eve 6,23
"Eat Me, Drink Me, Love Me, Kill Me",Pop Will Eat Itself,23
Nightmare,Avenged Sevenfold,23
Popular Monster,Falling In Reverse,22
Brace Yourself,Brides Of Destruction,22
Bullet With a Name,Nonpoint,22
Beer!,Psychostick,22
They Say,Daron Malakian and Scars On Broadway,22
White Rabbit,Egypt Central,22
Family Reunion,Saliva,22
Dodo / Lurker,Genesis,22
Keep It Dark,Genesis,22
Liar,Haley Reinhart,22
Oh My!,Haley Reinhart,22
Song #3,Stone Sour,22
Unbroken,Monster Magnet,22
Get The Girl! Kill The Baddies!,Pop Will Eat Itself,22
Y'all Want a Single,Korn,21
The Devil In I,Slipknot,21
Whiskey Hangover,Godsmack,21
Karmadrome,Pop Will Eat Itself,21
Mother,Pop Will Eat Itself,21
Gentleman,Theory Of A Deadman,21
19-2000,Gorillaz,20
Hella Good,No Doubt,20
Electric Harley House,Green Jelly,20
Stoned,Puddle Of Mudd,20
Wasted Tears,Haley Reinhart,20
Free,Haley Reinhart,20
Ante Up,M.O.P.,20
Breath On A Window,Alice In Chains,20
Dirty Work,Steely Dan,20
A Better Place,Army Of Anyone,20
It Doesn't Seem to Matter,Army Of Anyone,20
Come Back Around,Feeder,19
Absolute,Thousand Foot Krutch,19
Reach Down,Scarlet Haze,19
Down And Out,Tantric,19
Bury Me With My Guns On,Bobaflex,19
Drowning,Saving Abel,19
Sunset Strip Bitch,Eve 6,19
Second Chance,Shinedown,19
Born To Lead,Hoobastank,19
Ain't Enough,Army Of Anyone,19
You're Speaking My Language,Juliette and the Licks,18
Criminal,Framing Hanley,18
Between The Lines,Stone Temple Pilots,18
Cortez and Pizarro,Radio Nowhere,18
Spaceship,Puddle Of Mudd,18
Demons,Candlelight Red,18
Smooth Sailing,Queens Of The Stone Age,18
Tattoos & Tequila,Vince Neil,18
Wonderland,Haley Reinhart,18
Rx,Theory Of A Deadman,18
Painkiller,Three Days Grace,18
Better Days,Currents,18
Token Drug Song,Pop Will Eat Itself,18
Bang,Eve 6,18
Enemy,Eve 6,18
Seven Nation Army,The White Stripes,18
Born This Way,Thousand Foot Krutch,18
All Mixed Up,311,18
Kings,Steely Dan,18
Do It Again,Steely Dan,18
In the End,Linkin Park,18
Smothered,Spineshank,17
Waking Lions,Pop Evil,17
We're Through,Smile Empty Soul,17
Keep Coming Back,Haley Reinhart,17
Now That You're Here,Haley Reinhart,17
Undone,Haley Reinhart,17
Numb,Linkin Park,17
Porn Star Dancing,My Darkest Days,17
Reelin' In The Years,Steely Dan,17
Bow Down,I Prevail,17
Father Figure,Army Of Anyone,17
King Of The Stereo,Saliva,16
Buck Rogers,Feeder,16
Stand Up,Skrape,16
TRIALS,STARSET,16
What Are You Looking For,Sick Puppies,16
Die Trying,Art Of Dying,16
DEVIL,Shinedown,16
Back Foot,Dinosaur Pile-Up,16
Man on the Corner,Genesis,16
Cocaine Chest Pains,Kopek,16
False Alarm,Smile Empty Soul,16
"Debussy: Suite bergamasque, L. 75 - 3. Clair de lune",Lang Lang,16
Paranoid,Black Sabbath,16
Generation,Army Of Anyone,16
I Think Bad Thoughts,Danko Jones,15
The Obvious,Orgy,15
Bent To Fly,Slash,15
Love In Ruins,James Durbin,15
Kick Ass,Egypt Central,15
Who Dunnit?,Genesis,15
One For The Vine,Genesis,15
Deathwish,Red Sun Rising,15
The Kids Aren't Alright,The Offspring,15
Blue on Black,Five Finger Death Punch,15
Rise,Skillet,15
Neato,Three Loco,15
My Demons,Starset,15
"Chopin: Nocturne No.2 In E Flat, Op.9 No.2",Daniel Barenboim & Frédéric Chopin,15
Strike Back,We As Human,15
Fire In The Hole,Steely Dan,15
Midnite Cruiser,Steely Dan,15
Goodbye,I Prevail,15
Stop Look and Listen,Army Of Anyone,15
Strange,Kill Devil Hill,14
I'll Talk My Way out of It,Stuttering John,14
Talk To Her,Priestess,14
Insidious,Any Given Sin,14
Just A Beautiful Day,Danko Jones,14
Nothing Left to Lose,Heaven's Basement,14
Just A Ride,The Virginmarys,14
Extreme,Valora,14
Never Giving Up,Of Mice And Men,14
Hit The Ground Runnin',Haley Reinhart,14
Mr. Brightside,The Killers,14
Dirty Motel,Longreef,14
Box / Set,Barenaked Ladies,14
Basket Case,Green Day,14
Jesus Of Suburbia,Green Day,14
Bad Girlfriend,Theory Of A Deadman,14
Don't Tell Me,Hoobastank,14
Come As You Are,Nirvana,14
Photograph,Def Leppard,14
Brooklyn,Steely Dan,14
Wooly Muffler,Harvey Danger,13
How Can I Live,Ill Nino,13
Bullitproof,Pacifier,13
Ordinary God,Craving Lucy,13
Trenches,Pop Evil,13
Shotgun,Limp Bizkit,13
Under Your Scars,Godsmack,13
Time Bomb,Methods of Mayhem,13
MONSTERS,Shinedown,13
Psycho,Puddle Of Mudd,13
The Otherside,Red Sun Rising,13
Sucker Punch,Red Line Chemistry,13
Fake It,Seether,13
Country Song,Seether,13
Split,Currents,13
Harry Dean Stanton,Pop Will Eat Itself,13
I've Always Been A Coward Baby,Pop Will Eat Itself,13
Show Me Your Moves,Haley Reinhart,13
My Own Worst Enemy,Lit,13
Creatures,311,13
Look Where We Are,Hoobastank,13
Troublemaker,Green Day,13
Piano Concerto No.5 In E Flat Major Op.73 - ''Emperor'' - 2. Adagio Un Poco Mosso,"Alfred Brendel, Bernard Haitink, London Philharmonic Orchestra & Ludwig van Beethoven",13
When I Come Around,Green Day,13
When I'm Gone,Dirty Honey,13
Defender,August Burns Red,13
Only A Fool Would Say That,Steely Dan,13
Animal I Have Become,Three Days Grace,13
Carnivore,Starset,12
Private Helicopter,Harvey Danger,12
A Secret Door,Avatar,12
Do Her Wrong,Atom Smash,12
Fucked Up World,The Pretty Reckless,12
Apocalyptic,Halestorm,12
Electric Halo,Kyng,12
Nowhere To Hide,Crobot,12
You Don't Get It,Red Line Chemistry,12
Death To All But Metal,Steel Panther,12
Thick As Thieves,Cavo,12
Walking On Heaven,Haley Reinhart,12
I Miss the Misery,Halestorm,12
Take Out the Gunman,Chevelle,12
Crazy B*tch,Buckcherry,12
I Will Not Bow,Breaking Benjamin,12
Atlas Falls,Shinedown,12
Under the Bridge,Red Hot Chili Peppers,12
Domino,Genesis,12
Animals,Architects,12
Zip-Lock,Lit,12
Without A Fight,Hoobastank,12
If I Were You,Hoobastank,12
Inside Of You,Hoobastank,12
Nuclear Family,Green Day,12
Grade 9,Barenaked Ladies,12
All The Small Things,blink-182,12
High School Never Ends,Bowling For Soup,12
Smells Like Teen Spirit,Nirvana,12
No Leaf Clover,Metallica,12
Cream and Bastards Rise,Harvey Danger,12
Leave It,Army Of Anyone,12
A Thousand Years,The Piano Guys,12
"Goldberg Variations, BWV 988: Aria",Murray Perahia & Johann Sebastian Bach,12
Joker And The Thief,Wolfmother,11
Turn It On,Default,11
Immortal,Eve To Adam,11
Ain't No Rest for the Wicked,Cage The Elephant,11
A Passage To Bangkok,Rush,11
The Less I Know The Better,Tame Impala,11
Last Resort,Papa Roach,11
Urban Futuristic,Pop Will Eat Itself,11
Like It or Not,Genesis,11
Saviour,Anchored,11
Hive,311,11
Moving Forward,Hoobastank,11
Self Esteem,The Offspring,11
Stars,Sixx:A.M.,11
"Beethoven: Piano Sonata No.14 In C Sharp Minor, Op.27 No.2 -""Moonlight"" - 1. Adagio sostenuto",Daniel Barenboim & Ludwig van Beethoven,11
Rockstar,Nickelback,11
Sweet Child O' Mine,Guns N' Roses,11
Thunderstruck,AC/DC,11
Good Enough,Hoobastank,11
Change Of The Guard,Steely Dan,11
Can't Stop,Red Hot Chili Peppers,11
Gasoline,I Prevail,11
Spoonman,Soundgarden,11
Architecture Of Aggression,Megadeth,11
Jet Pack,Eve 6,11
Godzilla,Eminem,11
Tourniquet,The Dealer,11
Waterfall,Jon Schmidt & The Piano Guys,11
All American Nightmare,Hinder,10
Shutdown,Pitchshifter,10
Chemical Infatuation,Like A Storm,10
Woo Hah!! Got You All in Check,Busta Rhymes,10
Every Trace,The Dreaming,10
Mariana's Trench,August Burns Red,10
"Atlas, Rise!",Metallica,10
Paramount,August Burns Red,10
Master Of Puppets,Metallica,10
Pretty Pretty,Pop Will Eat Itself,10
Room to Breathe,You Me At Six,10
Addicted,Lit,10
Don't Stay Home,311,10
Mr. Highway's Thinking About The End,A Day To Remember,10
GET UP,Shinedown,10
Homecoming,Green Day,10
Absolute Zero,Stone Sour,10
One Week,Barenaked Ladies,10
Come Original,311,10
Dance Of The Manatee,Fair To Midland,10
Wrong Side of Heaven,Five Finger Death Punch,10
1000hp,Godsmack,10
Deadweight,I Prevail,10
DOA,I Prevail,10
Bring Me To Life,Evanescence,10
This Wasn't Supposed to Happen,Army Of Anyone,10
"Piano Sonata No. 11 in A Major, K. 331 ""Turkish March"": III. Alla Turca - Allegretto",Evelyne Dubourg & Wolfgang Amadeus Mozart,10
Skeletons,Dangerous New Machine,9
Stand up,James Durbin,9
Rip Tide,Sick Puppies,9
Bang Bang,Green Day,9
Black Hole Sun,Soundgarden,9
How You Remind Me,Nickelback,9
Asking for It,Shinedown,9
Burn It To The Ground,Nickelback,9
The Trees,Rush,9
Sober,Bad Wolves,9
Welcome To The Jungle,Guns N' Roses,9
Picasso,Hopsin,9
Born To Rise,Redlight King,9
Here's to the Night,Eve 6,9
Famous ),Puddle Of Mudd,9
Infected,12 Stones,9
Highway Tune,Greta Van Fleet,9
Jackolantern's Weather,311,9
Carpe Diem,Green Day,9
"Mozart: Concerto No. 21 in C Major for Piano and Orchestra, K. 467 - ""Elvira Madigan"": II. Andante",Carmen Pazzini & Euro Symphony Orchestra,9
1985,Bowling For Soup,9
Santeria,Sublime,9
Creep,Alpha Wolf,9
Coming Undone,Korn,9
Alcohol,Barenaked Ladies,9
Views From The Sun,Thornhill,9
He-Man Woman Hater,Extreme,9
Snow,Red Hot Chili Peppers,9
Scar Tissue,Red Hot Chili Peppers,9
Here And Now,Letters To Cleo,9
Violent Stimuli,The Dealer,9
Blade in a Bullet Wound,The Dealer,9
How Did You Love,Shinedown,9
Return To Innocence,Enigma,9
"Bagatelle No. 25 in A Minor, Op. 59 ""Für Elise""",Ludwig van Beethoven,9
"Mozart: Fantasia in D Minor, K.397",Mitsuko Uchida & Wolfgang Amadeus Mozart,9
Suite bergamasque: Clair de lune,Francois-Joel Thiollier,9
Terminal Velocity,John Petrucci,8
Get Paid,emphatic,8
Sex Ain't Love,Madam Adam,8
Fountain Of Salmacis,Genesis,8
Viva La Vida,Coldplay,8
Feel Invincible,Skillet,8
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",8
You Need To Calm Down,Taylor Swift,8
Gimme Shelter,Stone Sour,8
Death By Rock And Roll,The Pretty Reckless,8
Mr. Brownstone,Guns N' Roses,8
Second Skin,Currents,8
I Was A Teenage Grandad,Pop Will Eat Itself,8
Another Record,Genesis,8
If Today Was Your Last Day,Nickelback,8
Victim,Man Made Machine,8
Tom Sawyer,Rush,8
Say The Same,Hoobastank,8
River Flows in You,Yiruma,8
American Idiot,Green Day,8
Californication,Red Hot Chili Peppers,8
Alive,Concentration Study,8
Gone Away,The Offspring,8
Poverty of Self,Currents,8
Believer,Above & Beyond,8
BLACK SOUL,Shinedown,8
Date Rape,Sublime,8
Backbreaker,Fit For A King,8
The Middle,Jimmy Eat World,8
King Of Nothing,Saint Asonia,8
Paradise and Plague,Counterparts,8
Rescue,Eve 6,8
Simple Man,Shinedown,8
Turn That Heartbeat Over Again,Steely Dan,8
Johnny Cash,Wage War,8
The End of the Game,Weezer,8
Blank Space,I Prevail,8
Five of Everything,311,8
Through Glass,Stone Sour,8
Disappear,Army Of Anyone,8
Cowboys from Hell,Pantera,8
With Or Without You,U2,8
Beethoven: Fur Elise,Sylviy Capova & Ludwig van Beethoven,8
"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Vladimir Ashkenazy & Frédéric Chopin,8
"Mozart: Piano Sonata No.11 in A, K.331 -""Alla Turca"" - 3. Alla Turca",András Schiff & Wolfgang Amadeus Mozart,8
"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante","Vilmos Fischer, Vienna Mozart Ensemble, Herbert Kraus & Wolfgang Amadeus Mozart",8
Say You Won't Let Go,Josh Vietti,8
Requiem for a Dream,Jennifer Thomas,8
"Mozart: Piano Sonata No.16 in C, K.545 ""Sonata facile"" - 1. Allegro",András Schiff & Wolfgang Amadeus Mozart,8
Killing Me Inside,Crossfade,7
Heavy Is the Head,Zac Brown Band,7
The Other Side,Hugh Jackman & Zac Efron,7
Patience,Tame Impala,7
NOT MAD ENOUGH,Smith & Myers,7
Work,Pop Evil,7
Dangerous,Seether,7
It's Been Awhile,Staind,7
Something In Your Mouth,Nickelback,7
My Shot,"Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom, Jr., Original Broadway Cast of Hamilton",7
Ghost,Badflower,7
Expectations,Three Days Grace,7
ATTENTION ATTENTION,Shinedown,7
Red Barchetta,Rush,7
T & P Combo,311,7
Beautiful Disaster,311,7
Kill the DJ,Green Day,7
The King of Bedside Manor,Barenaked Ladies,7
Brian Wilson,Barenaked Ladies,7
Enid,Barenaked Ladies,7
Hello City,Barenaked Ladies,7
"Saint-Saëns: Le Carnaval des Animaux, R. 125 - 13. Le Cygne","Christopher van Kampen, Pascal Rogé, Cristina Ortiz, London Sinfonietta & Charles Dutoit",7
Behind the Lines,Genesis,7
A Million Dreams,"Austyn Johnson, Cameron Seely & Hugh Jackman",7
Breaking Inside,Shinedown,7
Stitch,Wage War,7
X-Kid,Green Day,7
Kill the Ache,Currents,7
Contagious,Trapt,7
Revolution Radio,Green Day,7
Li'l Jack Horny,Extreme,7
Monsters,Currents,7
Decadence Dance,Extreme,7
"Sugar, We're Goin Down",Fall Out Boy,7
I Hate Everything About You,Three Days Grace,7
Room To Breathe,You Me At Six,7
Southbound,Wage War,7
Love Hitchhiker,Aranda,7
Fly From The Inside,Shinedown,7
Meadow,Stone Temple Pilots,7
Low,I Prevail,7
First Dimension,311,7
Same Damn Life,Seether,7
Bleed It Out,Linkin Park,7
Let Me Live My Life,Saint Asonia,7
Already Dead,I Prevail,7
Sail,AWOLNATION,7
Holiday / Boulevard of Broken Dreams,Green Day,7
Forever Now,311,7
Sugar,Maroon 5,7
Scars,I Prevail,7
Shadow Boxing,Parkway Drive,7
Non Stop,Army Of Anyone,7
Psychotron,Megadeth,7
"Beethoven: Piano Sonata No.8 In C Minor, Op.13 -""Pathétique"" - 2. Adagio cantabile",Daniel Barenboim & Ludwig van Beethoven,7
My Immortal,Evanescence,7
Fix You,David Garrett,7
No More,Disturbed,7
Father of All...,Green Day,7
"Chopin: Waltz No.6 in D Flat, Op.64 No.1 -""Minute""",Vladimir Ashkenazy & Frédéric Chopin,7
Like I'm Gonna Lose You,Nicholas Yee,7
Moon River,2Cellos,7
Safe & Sound,William Joseph,7
"Nocturnes, Op. 9: No. 2 in E-Flat Major. Andante",Arthur Rubinstein & Frédéric Chopin,7
Push The Limits,Enigma,7
Drown,Bring Me The Horizon,6
Studying Music,Focus Study Music Academy,6
Leviathan,Volbeat,6
A Little Bit Off,Five Finger Death Punch,6
Musical Chairs,Fair To Midland,6
Thirty and Seven,August Burns Red,6
World On Fire,Slash,6
Loser,Beartooth,6
Delusion,Currents,6
Apnea,Currents,6
Blow,Theory Of A Deadman,6
